id,latitude,longitude,location,pincode
1,-7.1396,114.3272,Guder Lao,100001
2,16.1991156,103.2839975,Maha Sarakham,100002
3,25.797931,110.011238,Longsheng,100003
4,5.3191534,-4.2564094,Songon,100004
5,50.23154,24.377,Staryy Dobrotvir,100005
6,-7.7403739,110.0330554,Purorejo,100006
7,13.1641308,100.9216588,Si Racha,100007
8,23.236168,111.409653,Shuitai,100008
9,47.4325252,19.157136,Budapest,100009
10,40.2272711,43.8717749,Dalarik,100010
11,34.620202,112.453926,Luoyang,100011
12,48.6469926,25.7383108,Zalishchyky,100012
13,41.7509723,43.5291848,Bakuriani,100013
14,43.3531543,-1.6300821,Saint-Jean-de-Luz,100014
15,-9.591725,124.4530968,Kiuola,100015
16,-19.0152673,-57.6594997,Corumbá,100016
17,16.2093368,100.3722477,Taphan Hin,100017
18,14.5655554,121.0335158,Osias,100018
19,67.9547288,23.6829386,Muonio,100019
20,-8.6450837,116.8085683,Mantar,100020
21,-7.1665502,111.9969626,Sumuragung,100021
22,37.7404063,127.4241436,Cheongpyeong,100022
23,32.795859,35.530973,Tiberias,100023
24,56.2620262,15.6049677,Karlskrona,100024
25,50.1062428,22.7546149,Wiązownica,100025
26,23.12468,113.3612,Tianhe,100026
27,54.7894086,65.9674841,Polovinnoye,100027
28,-6.7612368,111.6273187,Nglojo,100028
29,32.1018288,72.7912031,Sargodha,100029
30,52.3770271,4.9192294,Amsterdam Binnenstad en Oostelijk Havengebied,100030
31,-6.995577,112.9862557,Batambak,100031
32,17.7524749,120.466907,Caronoan West,100032
33,14.609579,120.993122,Sison,100033
34,-6.9415153,-78.1350635,Sucre,100034
35,9.3607067,-83.7145811,San Isidro,100035
36,53.8399736,92.6676385,Belyy Yar,100036
37,10.8239425,122.505277,Cadagmayan Norte,100037
38,55.830186,37.4457899,Krasnyy Oktyabr’,100038
39,14.8454589,121.0912149,Minuyan,100039
40,60.7353362,77.6065163,Strezhevoy,100040
41,31.2000924,29.9187387,Alexandria,100041
42,4.5604389,-74.115187,Bogotá,100042
43,39.3577545,-9.3495726,Baleal,100043
44,39.9459413,116.3817634,Xiaochi,100044
45,43.2220146,76.8512485,Almaty,100045
46,51.0248584,22.8537385,Rybczewice,100046
47,46.9,113.41667,Haylaastay,100047
48,56.606956,26.7599531,Varakļāni,100048
49,23.321441,113.558655,Huang’ao,100049
50,40.370514,-8.7330787,Cochadas,100050
51,12.0675239,123.7223625,Cawayan,100051
52,38.3508588,141.4219969,Ishinomaki,100052
53,-26.4743278,-49.0023,Guaramirim,100053
54,34.341574,108.93977,Xue’an,100054
55,-7.5450262,111.6556388,Krajan,100055
56,45.3270631,14.442176,Rijeka,100056
57,9.5188754,-7.5572231,Odienné,100057
58,27.999411,115.932899,Xiushi,100058
59,44.6962724,39.8024873,Pshekhskaya,100059
60,39.9041999,116.4073963,Beijie,100060
61,59.9336282,30.6609232,Koltushi,100061
62,-12.6358928,-72.5558986,Quellouno,100062
63,-14.33056,-170.75278,Mapusagafou,100063
64,50.5856582,16.3318151,Broumov,100064
65,-8.4765241,115.5325797,Manggis,100065
66,-13.831435,-171.7985223,Vaiusu,100066
67,-6.9580488,107.5847246,Cirangrang,100067
68,41.302157,123.7403542,Dingtou,100068
69,-32.1748082,-64.1108167,Río Tercero,100069
70,38.6026034,-90.4365807,Wangfu,100070
71,12.573631,102.1041583,Chanthaburi,100071
72,-6.2746751,-79.6080967,Salas,100072
73,49.9521852,18.4800457,Skrzyszów,100073
74,49.4576263,35.1200067,Karlivka,100074
75,-4.3073908,104.7812654,Negararatu,100075
76,40.60624,-8.5926997,Oliveirinha,100076
77,59.8445787,13.2588145,Sunne,100077
78,14.5636491,121.029454,Abaca,100078
79,3.4851908,-76.5112471,Cali,100079
80,-23.5266796,-51.8311441,Marialva,100080
81,37.2746124,9.8627243,Bizerte,100081
82,37.6883607,22.7120308,Koutsopódi,100082
83,55.0764307,98.8426483,Uk,100083
84,8.417766,126.207415,Tagbina,100084
85,-24.3817381,-65.1218129,Maimará,100085
86,33.7654607,-84.38709,Atlanta,100086
87,13.0748879,120.7213113,Santa Cruz,100087
88,44.6488775,37.9401099,Kabardinka,100088
89,50.9060529,15.3368765,Świeradów-Zdrój,100089
90,-7.4207981,111.6243377,Sumberbening,100090
91,24.64995,116.156645,Changtan,100091
92,45.6232258,63.3139829,Baykonyr,100092
93,50.2837307,2.7425682,Arras,100093
94,61.0600425,24.2071941,Kalvola,100094
95,-8.2464,115.5631,Baturinggit Kaja,100095
96,56.0817902,43.472486,Bogorodsk,100096
97,12.610537,-70.0533844,Arasji,100097
98,-2.688962,111.622398,Pangkalanbuun,100098
99,1.0087005,100.2656209,Batas Barat,100099
100,12.225759,21.4126837,Goz Béïda,100100
101,44.4868448,43.9408057,Niny,100101
102,51.8948456,15.4110348,Świdnica,100102
103,-26.9265749,-48.9561869,Gaspar,100103
104,50.1380318,13.9911619,Tuchlovice,100104
105,34.0899029,131.3980655,Yamaguchi-shi,100105
106,48.7700185,2.3508225,Rungis,100106
107,9.6365101,123.8536209,Songculan,100107
108,26.647661,106.630153,Guyang,100108
109,42.5064293,20.3599254,Gllogjan,100109
110,49.465597,16.1555481,Mirošov,100110
111,40.6335427,47.467431,Ağdaş,100111
112,41.321246,19.470567,Kastrat,100112
113,18.6243144,98.8938543,San Pa Tong,100113
114,52.0404797,76.9262526,Aksu,100114
115,51.5258667,57.3241614,Kuvandyk,100115
116,49.3559892,2.7877074,Lacroix-Saint-Ouen,100116
